,item_libelle
0,2013 GD PARFUME F200 ML EVIDENCE
1,25 LINGETTES DEFROISSANTES SV
2,AB SVA BRUM EXPR CORP FL150ML
3,AB SVA JAMBES D'ETE  T75 INTER
4,AB SVA Soin Lift Vis T50 INTER
5,BASE ONGLES LISS/LUMIN MANUC CN3 10ML
6,BASE ONGLES RENFORCES MANUC CN3 10ML
7,BAUME JR/NT RC OMEGA 50ml
8,BAUME LEVR SENT FRAMBOISE 4G
9,BAUME LEVRES HYDRA 4G
10,BAUME LEVRES NOIX DE COCO 4G
11,BAUME LEVRES NUTRI 4G
12,BAUME LEVRES REPAIR 4G
13,BAUME LEVRES VANILLE 4G
14,BAUME NOUR CACAO FRAMB NOEL COLL 4G
15,BAUME NOUR LEV FRUITS NOIRS OS14 4G
16,BAUME NOUR LEV FRUITS ROUGES OS14 4G
17,BAUME TRAD DE HAM P150ml
18,BD FRAISE PN2 FL400ML
19,BD FRAISE PN2 FL50ML
20,BD FRAMBOISE PN2 FL50ML
21,BD MURE PN2 FL400ML
22,BD MURE PN2 FL50ML
23,BD OLIVE PN2 FL400ML
24,BD OLIVE PN2 FL50ML
25,BD PECHE PN2 50ML
26,BD PECHE PN2 FL400ML
27,BD PN VANILLE FL50ML
28,BIO BAUM LEV NUTR CULT BIO2 10ML
29,BIO BAUME LEVRES REPARATEUR 10ML
30,BIO DEO FRAICHEUR BILLE FL50ML
31,BIO FLUIDE REVEIL REGARD TB15ML
32,BIO GD FRAICHEUR FL200ML
33,BIO GEL DOUCHE ARGAN 200 ML
34,BIO GOMMAGE  CORPS T150ML
35,BIO LAIT ONTUEUX DEMAQ 200ML
36,BIO MIEL DOUCHE 200ML
37,BIO NUT CR NUT MAINS CULT BIO2 50ML
38,BIO NUTR VISAGE CULT BIO2 50ML
39,BLUSH NAT MAT/ABRICOTE CN3 7G
40,BLUSH SOLEIL CUIVRE ETE14 ANI LU4 2G
41,CD JDM4 AMANDE  FL 200ML
42,CD JDM4 CAFE FL 200ML
43,CD JDM4 COTON  FL 200ML
44,CD JDM4 MACADAMIA FL 200ML
45,CD JDM4 MAGNOLIA FL 200ML
46,CD JDM4 RIZ VIOLET FL200 ML
47,CD PN POIRE CARAMEL FL50Ml
48,COLLECTOR CREME DOUCEUR PC 125
49,CONTOUR YEUX 15ml SV40
50,CR CORPS FONDANTE P150ml NOEL1
51,CR HYDRATAT SPF25 HYDR/VEG 50ML
52,CR JOUR PX/MIX HYDRA/VEG P50ML
